Municipios;Sexo;Periodo;Total
08001 Abrera;Total;2024;13.014
08002 Aguilar de Segarra;Total;2024;291
08014 Aiguafreda;Total;2024;2.576
08003 Alella;Total;2024;10.217
08004 Alpens;Total;2024;270
08005 Ametlla del Vallès, L';Total;2024;9.462
08006 Arenys de Mar;Total;2024;16.642
08007 Arenys de Munt;Total;2024;9.458
08008 Argençola;Total;2024;237
08009 Argentona;Total;2024;12.844
08010 Artés;Total;2024;6.084
08011 Avià;Total;2024;2.243
08012 Avinyó;Total;2024;2.313
08013 Avinyonet del Penedès;Total;2024;1.744
08015 Badalona;Total;2024;227.083
08904 Badia del Vallès;Total;2024;13.118
08016 Bagà;Total;2024;2.182
08017 Balenyà;Total;2024;4.036
08018 Balsareny;Total;2024;3.328
08252 Barberà del Vallès;Total;2024;33.575
08019 Barcelona;Total;2024;1.702.547
08 Barcelona;Total;2024;5.899.063
08020 Begues;Total;2024;7.462
08021 Bellprat;Total;2024;69
08022 Berga;Total;2024;17.160
08023 Bigues i Riells del Fai;Total;2024;10.036
08024 Borredà;Total;2024;419
08025 Bruc, El;Total;2024;2.288
08026 Brull, El;Total;2024;293
08027 Cabanyes, Les;Total;2024;1.012
08028 Cabrera d'Anoia;Total;2024;1.709
08029 Cabrera de Mar;Total;2024;5.018
08030 Cabrils;Total;2024;7.767
08031 Calaf;Total;2024;3.618
08034 Calders;Total;2024;1.114
08033 Caldes de Montbui;Total;2024;18.336
08032 Caldes d'Estrac;Total;2024;3.259
08035 Calella;Total;2024;20.369
08037 Calldetenes;Total;2024;2.690
08038 Callús;Total;2024;2.145
08036 Calonge de Segarra;Total;2024;174
08039 Campins;Total;2024;606
08040 Canet de Mar;Total;2024;15.140
08041 Canovelles;Total;2024;17.312
08042 Cànoves i Samalús;Total;2024;3.315
08043 Canyelles;Total;2024;5.367
08044 Capellades;Total;2024;5.567
08045 Capolat;Total;2024;92
08046 Cardedeu;Total;2024;19.064
08047 Cardona;Total;2024;4.574
08048 Carme;Total;2024;814
08049 Casserres;Total;2024;1.676
08057 Castell de l'Areny;Total;2024;69
08052 Castellar de n'Hug;Total;2024;164
08050 Castellar del Riu;Total;2024;163
08051 Castellar del Vallès;Total;2024;25.322
08053 Castellbell i el Vilar;Total;2024;4.138
08054 Castellbisbal;Total;2024;12.972
08055 Castellcir;Total;2024;784
08056 Castelldefels;Total;2024;69.450
08058 Castellet i la Gornal;Total;2024;2.674
08060 Castellfollit de Riubregós;Total;2024;151
08059 Castellfollit del Boix;Total;2024;459
08061 Castellgalí;Total;2024;2.347
08062 Castellnou de Bages;Total;2024;1.430
08063 Castellolí;Total;2024;658
08064 Castellterçol;Total;2024;2.773
08065 Castellví de la Marca;Total;2024;1.716
08066 Castellví de Rosanes;Total;2024;2.106
08067 Centelles;Total;2024;7.775
08268 Cercs;Total;2024;1.193
08266 Cerdanyola del Vallès;Total;2024;58.100
08068 Cervelló;Total;2024;9.647
08069 Collbató;Total;2024;4.849
08070 Collsuspina;Total;2024;389
08071 Copons;Total;2024;351
08072 Corbera de Llobregat;Total;2024;15.726
08073 Cornellà de Llobregat;Total;2024;91.589
08074 Cubelles;Total;2024;17.243
08075 Dosrius;Total;2024;6.142
08076 Esparreguera;Total;2024;22.550
08077 Esplugues de Llobregat;Total;2024;47.613
08078 Espunyola, L';Total;2024;262
08254 Esquirol, L';Total;2024;2.277
08079 Estany, L';Total;2024;401
08134 Figaró-Montmany;Total;2024;1.188
08080 Fígols;Total;2024;41
08082 Fogars de la Selva;Total;2024;1.680
08081 Fogars de Montclús;Total;2024;502
08083 Folgueroles;Total;2024;2.263
08084 Fonollosa;Total;2024;1.585
08085 Font-rubí;Total;2024;1.446
08086 Franqueses del Vallès, Les;Total;2024;20.715
08090 Gaià;Total;2024;178
08087 Gallifa;Total;2024;172
08088 Garriga, La;Total;2024;17.305
08089 Gavà;Total;2024;48.007
08091 Gelida;Total;2024;8.098
08092 Gironella;Total;2024;5.055
08093 Gisclareny;Total;2024;30
08094 Granada, La;Total;2024;2.263
08095 Granera;Total;2024;84
08096 Granollers;Total;2024;64.181
08097 Gualba;Total;2024;1.738
08099 Guardiola de Berguedà;Total;2024;953
08100 Gurb;Total;2024;2.712
08101 Hospitalet de Llobregat, L';Total;2024;279.993
08162 Hostalets de Pierola, Els;Total;2024;3.231
08102 Igualada;Total;2024;41.466
08103 Jorba;Total;2024;827
08104 Llacuna, La;Total;2024;982
08105 Llagosta, La;Total;2024;13.085
08107 Lliçà d'Amunt;Total;2024;16.253
08108 Lliçà de Vall;Total;2024;6.861
08106 Llinars del Vallès;Total;2024;10.740
08109 Lluçà;Total;2024;288
08110 Malgrat de Mar;Total;2024;19.377
08111 Malla;Total;2024;272
08112 Manlleu;Total;2024;21.348
08113 Manresa;Total;2024;80.201
08242 Marganell;Total;2024;308
08114 Martorell;Total;2024;28.507
08115 Martorelles;Total;2024;4.987
08116 Masies de Roda, Les;Total;2024;750
08117 Masies de Voltregà, Les;Total;2024;3.292
08118 Masnou, El;Total;2024;24.479
08119 Masquefa;Total;2024;10.038
08120 Matadepera;Total;2024;9.815
08121 Mataró;Total;2024;131.798
08122 Mediona;Total;2024;2.637
08138 Moià;Total;2024;6.738
08123 Molins de Rei;Total;2024;26.948
08124 Mollet del Vallès;Total;2024;52.283
08128 Monistrol de Calders;Total;2024;761
08127 Monistrol de Montserrat;Total;2024;3.198
08125 Montcada i Reixac;Total;2024;37.153
08130 Montclar;Total;2024;132
08131 Montesquiu;Total;2024;1.099
08126 Montgat;Total;2024;12.625
08132 Montmajor;Total;2024;472
08133 Montmaneu;Total;2024;200
08135 Montmeló;Total;2024;8.906
08136 Montornès del Vallès;Total;2024;17.089
08137 Montseny;Total;2024;380
08129 Muntanyola;Total;2024;712
08139 Mura;Total;2024;232
08140 Navarcles;Total;2024;6.160
08141 Navàs;Total;2024;6.185
08142 Nou de Berguedà, La;Total;2024;163
08143 Òdena;Total;2024;3.710
08145 Olèrdola;Total;2024;3.946
08146 Olesa de Bonesvalls;Total;2024;2.093
08147 Olesa de Montserrat;Total;2024;24.677
08148 Olivella;Total;2024;4.419
08149 Olost;Total;2024;1.216
08144 Olvan;Total;2024;913
08150 Orís;Total;2024;350
08151 Oristà;Total;2024;569
08152 Orpí;Total;2024;178
08153 Òrrius;Total;2024;805
08154 Pacs del Penedès;Total;2024;935
08155 Palafolls;Total;2024;9.938
08156 Palau-solità i Plegamans;Total;2024;15.456
08157 Pallejà;Total;2024;11.825
08905 Palma de Cervelló, La;Total;2024;3.044
08158 Papiol, El;Total;2024;4.363
08159 Parets del Vallès;Total;2024;18.881
08160 Perafita;Total;2024;438
08161 Piera;Total;2024;17.555
08163 Pineda de Mar;Total;2024;29.455
08164 Pla del Penedès, El;Total;2024;1.352
08165 Pobla de Claramunt, La;Total;2024;2.353
08166 Pobla de Lillet, La;Total;2024;1.109
08167 Polinyà;Total;2024;8.555
08182 Pont de Vilomara i Rocafort, El;Total;2024;4.140
08168 Pontons;Total;2024;518
08169 Prat de Llobregat, El;Total;2024;66.184
08171 Prats de Lluçanès;Total;2024;2.688
08170 Prats de Rei, Els;Total;2024;553
08230 Premià de Dalt;Total;2024;10.594
08172 Premià de Mar;Total;2024;28.951
08174 Puigdàlber;Total;2024;629
08175 Puig-reig;Total;2024;4.489
08176 Pujalt;Total;2024;210
08177 Quar, La;Total;2024;42
08178 Rajadell;Total;2024;594
08179 Rellinars;Total;2024;920
08180 Ripollet;Total;2024;39.462
08181 Roca del Vallès, La;Total;2024;10.962
08183 Roda de Ter;Total;2024;6.900
08184 Rubí;Total;2024;81.532
08185 Rubió;Total;2024;237
08901 Rupit i Pruit;Total;2024;281
08187 Sabadell;Total;2024;222.177
08188 Sagàs;Total;2024;153
08190 Saldes;Total;2024;301
08191 Sallent;Total;2024;6.927
08194 Sant Adrià de Besòs;Total;2024;38.490
08195 Sant Agustí de Lluçanès;Total;2024;108
08196 Sant Andreu de la Barca;Total;2024;27.062
08197 Sant Andreu de Llavaneres;Total;2024;11.933
08198 Sant Antoni de Vilamajor;Total;2024;6.668
08199 Sant Bartomeu del Grau;Total;2024;943
08200 Sant Boi de Llobregat;Total;2024;84.831
08201 Sant Boi de Lluçanès;Total;2024;575
08203 Sant Cebrià de Vallalta;Total;2024;3.828
08202 Sant Celoni;Total;2024;18.761
08204 Sant Climent de Llobregat;Total;2024;4.182
08205 Sant Cugat del Vallès;Total;2024;98.621
08206 Sant Cugat Sesgarrigues;Total;2024;1.031
08207 Sant Esteve de Palautordera;Total;2024;3.080
08208 Sant Esteve Sesrovires;Total;2024;8.060
08210 Sant Feliu de Codines;Total;2024;6.661
08211 Sant Feliu de Llobregat;Total;2024;46.554
08212 Sant Feliu Sasserra;Total;2024;629
08209 Sant Fost de Campsentelles;Total;2024;9.227
08213 Sant Fruitós de Bages;Total;2024;9.248
08215 Sant Hipòlit de Voltregà;Total;2024;3.687
08193 Sant Iscle de Vallalta;Total;2024;1.458
08216 Sant Jaume de Frontanyà;Total;2024;26
08218 Sant Joan de Vilatorrada;Total;2024;11.017
08217 Sant Joan Despí;Total;2024;35.083
08903 Sant Julià de Cerdanyola;Total;2024;232
08220 Sant Julià de Vilatorta;Total;2024;3.297
08221 Sant Just Desvern;Total;2024;20.881
08222 Sant Llorenç d'Hortons;Total;2024;2.617
08223 Sant Llorenç Savall;Total;2024;2.586
08225 Sant Martí d'Albars;Total;2024;140
08224 Sant Martí de Centelles;Total;2024;1.259
08226 Sant Martí de Tous;Total;2024;1.275
08227 Sant Martí Sarroca;Total;2024;3.391
08228 Sant Martí Sesgueioles;Total;2024;360
08229 Sant Mateu de Bages;Total;2024;637
08231 Sant Pere de Ribes;Total;2024;32.121
08232 Sant Pere de Riudebitlles;Total;2024;2.497
08233 Sant Pere de Torelló;Total;2024;2.592
08234 Sant Pere de Vilamajor;Total;2024;4.941
08189 Sant Pere Sallavinera;Total;2024;158
08235 Sant Pol de Mar;Total;2024;5.834
08236 Sant Quintí de Mediona;Total;2024;2.504
08237 Sant Quirze de Besora;Total;2024;2.127
08238 Sant Quirze del Vallès;Total;2024;20.161
08239 Sant Quirze Safaja;Total;2024;669
08240 Sant Sadurní d'Anoia;Total;2024;12.915
08241 Sant Sadurní d'Osormort;Total;2024;84
08098 Sant Salvador de Guardiola;Total;2024;3.476
08262 Sant Vicenç de Castellet;Total;2024;10.131
08264 Sant Vicenç de Montalt;Total;2024;6.712
08265 Sant Vicenç de Torelló;Total;2024;2.092
08263 Sant Vicenç dels Horts;Total;2024;28.568
08243 Santa Cecília de Voltregà;Total;2024;192
08244 Santa Coloma de Cervelló;Total;2024;8.335
08245 Santa Coloma de Gramenet;Total;2024;121.203
08246 Santa Eugènia de Berga;Total;2024;2.308
08247 Santa Eulàlia de Riuprimer;Total;2024;1.487
08248 Santa Eulàlia de Ronçana;Total;2024;7.911
08249 Santa Fe del Penedès;Total;2024;360
08250 Santa Margarida de Montbui;Total;2024;10.549
08251 Santa Margarida i els Monjos;Total;2024;7.736
08253 Santa Maria de Besora;Total;2024;164
08256 Santa Maria de Martorelles;Total;2024;873
08255 Santa Maria de Merlès;Total;2024;175
08257 Santa Maria de Miralles;Total;2024;137
08259 Santa Maria de Palautordera;Total;2024;10.008
08258 Santa Maria d'Oló;Total;2024;1.077
08260 Santa Perpètua de Mogoda;Total;2024;25.960
08261 Santa Susanna;Total;2024;4.023
08192 Santpedor;Total;2024;7.716
08267 Sentmenat;Total;2024;9.553
08269 Seva;Total;2024;3.798
08270 Sitges;Total;2024;32.405
08271 Sobremunt;Total;2024;101
08272 Sora;Total;2024;219
08273 Subirats;Total;2024;3.281
08274 Súria;Total;2024;6.090
08276 Tagamanent;Total;2024;339
08277 Talamanca;Total;2024;212
08278 Taradell;Total;2024;6.844
08275 Tavèrnoles;Total;2024;341
08280 Tavertet;Total;2024;131
08281 Teià;Total;2024;6.818
08279 Terrassa;Total;2024;228.708
08282 Tiana;Total;2024;9.305
08283 Tona;Total;2024;8.511
08284 Tordera;Total;2024;18.780
08285 Torelló;Total;2024;15.093
08286 Torre de Claramunt, La;Total;2024;4.122
08287 Torrelavit;Total;2024;1.509
08288 Torrelles de Foix;Total;2024;2.657
08289 Torrelles de Llobregat;Total;2024;6.155
08290 Ullastrell;Total;2024;2.176
08291 Vacarisses;Total;2024;7.563
08292 Vallbona d'Anoia;Total;2024;1.406
08293 Vallcebre;Total;2024;271
08294 Vallgorguina;Total;2024;3.198
08295 Vallirana;Total;2024;15.985
08296 Vallromanes;Total;2024;2.742
08297 Veciana;Total;2024;172
08298 Vic;Total;2024;49.530
08299 Vilada;Total;2024;443
08301 Viladecans;Total;2024;67.348
08300 Viladecavalls;Total;2024;7.802
08305 Vilafranca del Penedès;Total;2024;41.504
08306 Vilalba Sasserra;Total;2024;780
08303 Vilanova de Sau;Total;2024;317
08302 Vilanova del Camí;Total;2024;12.844
08902 Vilanova del Vallès;Total;2024;5.632
08307 Vilanova i la Geltrú;Total;2024;70.418
08214 Vilassar de Dalt;Total;2024;9.281
08219 Vilassar de Mar;Total;2024;21.162
08304 Vilobí del Penedès;Total;2024;1.150
08308 Viver i Serrateix;Total;2024;175
